#Gene Level Annotation Report
#2023-11-15 03:23:36.667571
#CRAVAT version: hybrid
#Analysis done at http://www.cravat.us.
#Job Id: au198_20231114_215211
#Input file: ERR2348724.sorted.indexed.flagged_1_.vcf
#This report shows analysis results at gene level.
#The composite p-value (Stouffer's combined p-value) and composite FDR of a gene show how probable it is to get the same p-value distribution for the gene as that obtained from the input variants by chance.
#hg19 genomic.
#N/A
#For more information on CRAVAT, visit http://www.cravat.us.

HUGO symbol	Number of variants	Sequence ontology	CGC driver class	CGC inheritance	CGC tumor types somatic	CGC tumor types germline	ClinVar disease identifier	ClinVar XRef	Occurrences in COSMIC	COSMIC gene count (tissue)	Number of samples with gene mutated	GeneCards summary (from http://www.genecards.org)	PubMed article count	PubMed search term	CHASM gene score	CHASM gene p-value	CHASM gene FDR	VEST gene score (non-silent)	VEST gene p-value	VEST gene FDR	Protein 3D gene	Has a mutation in a TCGA Mutation Cluster	NCI pathway hits	NCI pathway IDs	NCI pathway names	TARGET	CGL driver class
PRKCE	2	SY							172	large_intestine(39);endometrium(12);lung(9);skin(17);kidney(12);thyroid(1);cervix(1);central_nervous_system(1);oesophagus(10);NS(5);upper_aerodigestive_tract(4);biliary_tract(3);stomach(19);soft_tissue(1);urinary_tract(1);breast(19);prostate(4);pancreas(1);small_intestine(1);haematopoietic_and_lymphoid_tissue(3);ovary(6);bone(1);liver(2)	1	 Protein kinase C (PKC) is a family of serine- and threonine-specific protein kinases that can be activated by	7	http://www.ncbi.nlm.nih.gov/pubmed?term=PRKCE[TIAB]+AND+cancer[MH]													
SOCS5	1	SY							128	thyroid(1);cervix(2);large_intestine(28);stomach(9);soft_tissue(5);central_nervous_system(5);haematopoietic_and_lymphoid_tissue(2);endometrium(18);urinary_tract(3);lung(12);breast(4);skin(15);oesophagus(2);ovary(4);pancreas(2);prostate(1);bone(1);liver(14)	1	 The protein encoded by this gene contains a SH2 domain and a SOCS BOX domain. The protein thus belongs to the	8	http://www.ncbi.nlm.nih.gov/pubmed?term=SOCS5[TIAB]+AND+cancer[MH]													
TTC7A	1	SY					C0220744	OMIM:243150;SNOMED CT:Multiple gastrointestinal atresias	173	large_intestine(31);endometrium(11);lung(11);skin(39);autonomic_ganglia(1);kidney(2);thyroid(1);central_nervous_system(2);oesophagus(7);NS(4);upper_aerodigestive_tract(6);biliary_tract(1);stomach(11);soft_tissue(6);urinary_tract(4);liver(4);prostate(7);pancreas(5);small_intestine(1);haematopoietic_and_lymphoid_tissue(5);ovary(3);bone(1);breast(10)	1	 The tetratricopeptide repeat (TPR) domain is defined by a degenerate consensus sequence of 34 amino acids. TPR	0														
C2orf61	1	MS							31	upper_aerodigestive_tract(1);thyroid(1);large_intestine(2);haematopoietic_and_lymphoid_tissue(1);breast(1);biliary_tract(1);endometrium(1);urinary_tract(3);lung(3);liver(2);skin(6);oesophagus(2);kidney(3);pancreas(4)	1	No GeneCards annotation	0					0.097	0.79496	1							
MSH6	1	MS					C0265325	OMIM:276300	495	large_intestine(135);endometrium(69);lung(20);skin(42);autonomic_ganglia(1);kidney(8);thyroid(2);cervix(2);central_nervous_system(22);oesophagus(12);NS(8);upper_aerodigestive_tract(7);biliary_tract(7);stomach(46);soft_tissue(8);urinary_tract(7);liver(24);prostate(10);pancreas(3);adrenal_gland(1);salivary_gland(1);small_intestine(1);haematopoietic_and_lymphoid_tissue(29);thymus(1);ovary(6);bone(1);breast(22)	1	 This gene encodes a member of the DNA mismatch repair MutS family. In E. coli, the MutS protein helps in the	677	http://www.ncbi.nlm.nih.gov/pubmed?term=MSH6[TIAB]+AND+cancer[MH]				0.304	0.34349	1							TSG
FBXO11	1	MS							203	upper_aerodigestive_tract(6);thyroid(3);biliary_tract(1);stomach(16);central_nervous_system(2);liver(20);cervix(2);autonomic_ganglia(1);haematopoietic_and_lymphoid_tissue(36);large_intestine(29);endometrium(10);urinary_tract(1);oesophagus(21);breast(12);skin(13);lung(15);ovary(2);prostate(2);bone(1);kidney(7);pancreas(3)	1	 This gene encodes a member of the F-box protein family which is characterized by an approximately 40 amino acid motif,  the F-box. The F-box proteins constitute one of the four subunits of ubiquitin protein ligase complex called SCFs  (SKP1-cullin-F-box), which function in phosphorylation-dependent ubiquitination. The F-box proteins are divided into 3  classes: Fbws containing WD-40 domains, Fbls containing leucine-rich repeats, and Fbxs containing either different  protein-protein interaction modules or no recognizable motifs. The protein encoded by this gene belongs to the Fbxs  class. It can function as an arginine methyltransferase that symmetrically dimethylates arginine residues, and it acts  as an adaptor protein to mediate the neddylation of p53, which leads to the suppression of p53 function. This gene is  known to be down-regulated in melanocytes from patients with vitiligo, a skin disorder that results in depigmentation.  Polymorphisms in this gene are associated with chronic otitis media with effusion and recurrent otitis media  (COME/ROM), a hearing loss disorder, and the knockout of the homologous mouse gene results in the deaf mouse mutant  Jeff (Jf), a single gene model of otitis media. Alternatively spliced transcript variants encoding distinct isoforms  have been identified for this gene. (provided by RefSeq)	2	http://www.ncbi.nlm.nih.gov/pubmed?term=FBXO11[TIAB]+AND+cancer[MH]				0.456	0.20919	1							
FOXN2	1	SY							94	upper_aerodigestive_tract(1);thyroid(1);large_intestine(14);stomach(8);soft_tissue(2);adrenal_gland(1);small_intestine(2);haematopoietic_and_lymphoid_tissue(2);endometrium(4);urinary_tract(5);lung(9);liver(14);skin(14);oesophagus(2);NS(5);prostate(2);bone(1);kidney(5);breast(2)	1	 This gene encodes a forkhead domain binding protein and may function in the transcriptional regulation of the	2	http://www.ncbi.nlm.nih.gov/pubmed?term=FOXN2[TIAB]+AND+cancer[MH]													
PPP1R21	1	SY							141	large_intestine(15);endometrium(13);lung(10);skin(19);kidney(7);thyroid(1);cervix(1);central_nervous_system(2);oesophagus(5);NS(4);upper_aerodigestive_tract(2);biliary_tract(3);stomach(14);soft_tissue(3);urinary_tract(3);breast(8);prostate(2);pancreas(2);adrenal_gland(2);haematopoietic_and_lymphoid_tissue(3);ovary(3);bone(1);liver(18)	1	No GeneCards annotation	0														
STON1-GTF2A1L	4	MS							396	large_intestine(52);peritoneum(1);endometrium(21);lung(53);skin(98);autonomic_ganglia(2);kidney(6);thyroid(2);cervix(2);testis(1);central_nervous_system(4);oesophagus(22);NS(5);upper_aerodigestive_tract(2);biliary_tract(6);stomach(26);soft_tissue(9);urinary_tract(8);liver(15);prostate(14);pituitary(1);pancreas(11);meninges(1);small_intestine(1);haematopoietic_and_lymphoid_tissue(13);ovary(4);bone(2);breast(14)	1	 STON1-GTF2A1L mRNAs are infrequent but naturally occurring read-through products of the neighboring STON1 and	0					0.08	0.85528	1							
STON1	1	SY							249	large_intestine(33);endometrium(12);lung(32);skin(58);autonomic_ganglia(2);kidney(5);thyroid(2);cervix(2);central_nervous_system(4);oesophagus(17);NS(5);biliary_tract(5);stomach(18);soft_tissue(4);urinary_tract(4);breast(9);prostate(8);pancreas(9);small_intestine(1);haematopoietic_and_lymphoid_tissue(11);ovary(1);bone(1);liver(6)	1	 Endocytosis of cell surface proteins is mediated by a complex molecular machinery that assembles on the inner	0														
LHCGR	3	II					C0266432	OMIM:238320;SNOMED CT:Leydig cell agenesis	331	large_intestine(42);endometrium(25);lung(26);skin(88);kidney(1);thyroid(2);cervix(2);central_nervous_system(6);oesophagus(13);NS(13);upper_aerodigestive_tract(6);biliary_tract(1);stomach(17);soft_tissue(10);urinary_tract(2);liver(22);prostate(7);pancreas(12);adrenal_gland(1);haematopoietic_and_lymphoid_tissue(7);ovary(5);bone(2);breast(21)	1	 This gene encodes the receptor for both luteinizing hormone and choriogonadotropin. This receptor belongs to the	25	http://www.ncbi.nlm.nih.gov/pubmed?term=LHCGR[TIAB]+AND+cancer[MH]				0.63	0.451278406101754	1							
FSHR	2	MS					C0085083	OMIM:608115;SNOMED CT:Ovarian hyperstimulation syndrome	361	large_intestine(40);endometrium(23);lung(39);skin(94);kidney(3);cervix(2);central_nervous_system(3);oesophagus(26);NS(6);upper_aerodigestive_tract(4);biliary_tract(3);stomach(33);soft_tissue(9);urinary_tract(5);breast(12);prostate(9);pancreas(12);adrenal_gland(1);small_intestine(2);haematopoietic_and_lymphoid_tissue(8);ovary(8);bone(2);liver(17)	1	 The protein encoded by this gene belongs to family 1 of G-protein coupled receptors. It is the receptor for	68	http://www.ncbi.nlm.nih.gov/pubmed?term=FSHR[TIAB]+AND+cancer[MH]				0.094	0.96618348240534	1							
NRXN1	3	MS					C3280479	OMIM:614325	244	large_intestine(40);endometrium(14);lung(38);skin(31);kidney(9);thyroid(2);cervix(3);central_nervous_system(3);oesophagus(8);NS(2);upper_aerodigestive_tract(6);biliary_tract(2);stomach(27);soft_tissue(7);urinary_tract(3);breast(8);prostate(6);pancreas(9);salivary_gland(1);small_intestine(1);haematopoietic_and_lymphoid_tissue(5);ovary(3);bone(1);liver(15)	1	 Neurexins function in the vertebrate nervous system as cell adhesion molecules and receptors. Two neurexin genes	3	http://www.ncbi.nlm.nih.gov/pubmed?term=NRXN1[TIAB]+AND+cancer[MH]				0.339	0.359078966438912	1							
PSME4	1	SY							346	large_intestine(84);pleura(2);endometrium(26);lung(30);skin(37);kidney(5);cervix(2);central_nervous_system(4);oesophagus(9);NS(11);upper_aerodigestive_tract(5);biliary_tract(8);stomach(25);soft_tissue(5);urinary_tract(6);breast(16);prostate(10);pancreas(4);adrenal_gland(1);haematopoietic_and_lymphoid_tissue(12);ovary(11);bone(4);liver(29)	1	No GeneCards annotation	0														
TSPYL6	1	MS							151	large_intestine(33);endometrium(12);lung(6);skin(23);kidney(3);thyroid(2);cervix(2);testis(1);central_nervous_system(3);oesophagus(5);parathyroid(1);NS(4);upper_aerodigestive_tract(3);biliary_tract(1);stomach(14);soft_tissue(5);urinary_tract(2);liver(10);prostate(1);pancreas(2);salivary_gland(1);small_intestine(1);haematopoietic_and_lymphoid_tissue(9);ovary(3);breast(4)	1	No GeneCards annotation	0					0.015	0.99241	1							
C2orf73	2	MS							42	cervix(2);large_intestine(6);stomach(1);soft_tissue(2);small_intestine(1);haematopoietic_and_lymphoid_tissue(4);biliary_tract(1);endometrium(3);lung(3);liver(1);skin(9);oesophagus(1);kidney(1);breast(7)	1	No GeneCards annotation	0					0.18	0.841608847851558	1							
SPTBN1	1	SY							504	large_intestine(101);endometrium(51);lung(31);skin(56);autonomic_ganglia(1);kidney(14);thyroid(2);cervix(7);central_nervous_system(16);oesophagus(13);NS(9);upper_aerodigestive_tract(12);biliary_tract(4);stomach(39);soft_tissue(4);urinary_tract(18);liver(37);prostate(20);pancreas(16);adrenal_gland(1);salivary_gland(2);small_intestine(1);haematopoietic_and_lymphoid_tissue(18);ovary(8);breast(23)	1	 Spectrin is an actin crosslinking and molecular scaffold protein that links the plasma membrane to the actin	4	http://www.ncbi.nlm.nih.gov/pubmed?term=SPTBN1[TIAB]+AND+cancer[MH]													
EML6	2	SY							324	large_intestine(80);endometrium(37);lung(7);skin(39);kidney(7);thyroid(2);cervix(7);oesophagus(8);NS(11);upper_aerodigestive_tract(16);biliary_tract(8);stomach(10);soft_tissue(5);urinary_tract(2);liver(24);prostate(11);pancreas(11);adrenal_gland(1);salivary_gland(1);haematopoietic_and_lymphoid_tissue(8);ovary(3);bone(1);breast(25)	1	No GeneCards annotation	0														
CLHC1	2	MS									1	No GeneCards annotation	0					0.21	0.932873706616769	1	../MuPIT_Interactive?gm=chr2:55180618						
CCDC88A	1	MS					C1850055	OMIM:260565	379	large_intestine(71);endometrium(43);lung(25);skin(58);autonomic_ganglia(1);kidney(7);thyroid(1);cervix(7);central_nervous_system(8);oesophagus(16);NS(3);upper_aerodigestive_tract(10);biliary_tract(10);stomach(21);soft_tissue(4);urinary_tract(10);liver(14);prostate(9);pancreas(13);small_intestine(1);haematopoietic_and_lymphoid_tissue(5);ovary(7);bone(3);breast(32)	1	 This gene encodes a member of the Girdin family of coiled-coil domain containing proteins. The encoded protein is	0					0.255	0.42324	1							
CFAP36	1	MS									1	No GeneCards annotation	0					0.051	0.94201	1							
PPP4R3B	1	MS									1	No GeneCards annotation	0					0.029	0.97723	1							
PNPT1	1	SY					C1824925	OMIM:614934	155	upper_aerodigestive_tract(3);cervix(2);large_intestine(31);stomach(11);soft_tissue(1);central_nervous_system(2);small_intestine(2);haematopoietic_and_lymphoid_tissue(11);biliary_tract(1);endometrium(8);urinary_tract(5);lung(7);liver(18);skin(17);oesophagus(7);pancreas(4);prostate(12);bone(1);kidney(3);breast(9)	1	 The protein encoded by this gene belongs to the evolutionary conserved polynucleotide phosphorylase family	3	http://www.ncbi.nlm.nih.gov/pubmed?term=PNPT1[TIAB]+AND+cancer[MH]													
CCDC85A	1	MS							234	large_intestine(38);pleura(1);endometrium(16);lung(14);skin(30);autonomic_ganglia(1);kidney(2);thyroid(2);cervix(3);central_nervous_system(4);oesophagus(8);NS(2);upper_aerodigestive_tract(19);stomach(11);soft_tissue(6);urinary_tract(2);liver(19);prostate(14);pancreas(10);small_intestine(2);haematopoietic_and_lymphoid_tissue(12);ovary(6);breast(12)	1	No GeneCards annotation	1	http://www.ncbi.nlm.nih.gov/pubmed?term=CCDC85A[TIAB]+AND+cancer[TIAB]				0.036	0.96802	1							
VRK2	1	MS							105	upper_aerodigestive_tract(3);large_intestine(29);stomach(7);soft_tissue(1);central_nervous_system(4);pancreas(1);haematopoietic_and_lymphoid_tissue(5);endometrium(9);oesophagus(6);liver(6);skin(11);lung(15);ovary(1);NS(1);prostate(1);kidney(2);breast(3)	1	 This gene encodes a member of the vaccinia-related kinase (VRK) family of serine/threonine protein kinases. This	4	http://www.ncbi.nlm.nih.gov/pubmed?term=VRK2[TIAB]+AND+cancer[MH]				0.192	0.54539	1	../MuPIT_Interactive?gm=chr2:58089679						
FANCL	1	SY					C1861028	OMIM:189960	85	upper_aerodigestive_tract(6);cervix(2);large_intestine(15);stomach(4);soft_tissue(4);haematopoietic_and_lymphoid_tissue(4);breast(3);endometrium(5);urinary_tract(4);lung(5);liver(7);skin(9);oesophagus(3);ovary(4);NS(1);prostate(1);bone(2);kidney(4);pancreas(2)	1	 The Fanconi anemia complementation group (FANC) currently includes FANCA, FANCB, FANCC, FANCD1 (also called	14	http://www.ncbi.nlm.nih.gov/pubmed?term=FANCL[TIAB]+AND+cancer[MH]													
BCL11A	1	SY					C4310833	OMIM:617101	434	large_intestine(59);endometrium(14);lung(31);skin(102);autonomic_ganglia(1);kidney(9);thyroid(2);cervix(1);central_nervous_system(15);oesophagus(20);NS(4);upper_aerodigestive_tract(41);biliary_tract(10);stomach(30);soft_tissue(3);urinary_tract(1);liver(31);prostate(16);pancreas(7);adrenal_gland(1);haematopoietic_and_lymphoid_tissue(14);ovary(2);bone(3);breast(17)	1	 This gene encodes a C2H2 type zinc-finger protein by its similarity to the mouse Bcl11a/Evi9 protein. The corresponding  mouse gene is a common site of retroviral integration in myeloid leukemia, and may function as a leukemia disease  gene, in part, through its interaction with BCL6. During hematopoietic cell differentiation, this gene is  down-regulated. It is possibly involved in lymphoma pathogenesis since translocations associated with B-cell  malignancies also deregulates its expression. Multiple transcript variants encoding several different isoforms have  been found for this gene. (provided by RefSeq)	44	http://www.ncbi.nlm.nih.gov/pubmed?term=BCL11A[TIAB]+AND+cancer[MH]													
REL	1	SY							106	upper_aerodigestive_tract(2);cervix(4);large_intestine(26);stomach(8);soft_tissue(2);liver(4);thyroid(1);haematopoietic_and_lymphoid_tissue(2);endometrium(9);urinary_tract(2);lung(7);breast(8);skin(17);central_nervous_system(1);oesophagus(5);ovary(2);NS(1);prostate(1);bone(1);kidney(1);pancreas(2)	1	 The REL gene encodes c-Rel, a transcription factor that is a member of the Rel/NFKB family, which also includes	666	http://www.ncbi.nlm.nih.gov/pubmed?term=REL[TIAB]+AND+cancer[MH]													
PUS10	1	SY							101	upper_aerodigestive_tract(2);cervix(1);large_intestine(24);NS(3);eye(1);autonomic_ganglia(1);haematopoietic_and_lymphoid_tissue(5);endometrium(8);urinary_tract(1);oesophagus(1);lung(6);liver(4);skin(10);stomach(10);ovary(3);pancreas(4);prostate(1);bone(2);kidney(5);breast(9)	1	 Pseudouridination, the isomerization of uridine to pseudouridine, is the most common posttranscriptional	0														
KIAA1841	1	SY							137	large_intestine(25);endometrium(4);lung(11);skin(26);kidney(3);thyroid(1);cervix(1);central_nervous_system(3);oesophagus(4);NS(1);upper_aerodigestive_tract(10);biliary_tract(4);stomach(11);soft_tissue(3);urinary_tract(2);breast(7);prostate(4);salivary_gland(1);haematopoietic_and_lymphoid_tissue(3);ovary(2);bone(2);liver(9)	1	No GeneCards annotation	0														
USP34	3	MS							806	large_intestine(135);endometrium(61);lung(58);skin(66);autonomic_ganglia(2);kidney(27);thyroid(7);cervix(8);testis(1);central_nervous_system(6);oesophagus(36);NS(12);upper_aerodigestive_tract(72);biliary_tract(11);stomach(48);soft_tissue(14);urinary_tract(23);liver(47);prostate(37);pancreas(15);salivary_gland(2);small_intestine(2);haematopoietic_and_lymphoid_tissue(31);ovary(13);bone(6);breast(66)	1	No GeneCards annotation	1	http://www.ncbi.nlm.nih.gov/pubmed?term=USP34[TIAB]+AND+cancer[MH]				0.012	0.99393	1							
FAM161A	3	MS					C1853734	OMIM:606068	147	large_intestine(40);endometrium(21);lung(5);skin(12);kidney(5);thyroid(1);eye(1);central_nervous_system(3);genital_tract(1);oesophagus(2);NS(1);upper_aerodigestive_tract(4);biliary_tract(3);stomach(8);soft_tissue(1);urinary_tract(3);liver(10);prostate(2);pancreas(7);haematopoietic_and_lymphoid_tissue(3);ovary(4);bone(1);breast(9)	1	 This gene belongs to the FAM161 family. It is expressed mainly in the retina. Mouse studies suggested that this	0					0.072	0.8826	1							
TMEM17	2	SY							57	thyroid(1);large_intestine(12);stomach(2);soft_tissue(2);kidney(4);pancreas(2);haematopoietic_and_lymphoid_tissue(2);biliary_tract(1);endometrium(2);lung(6);breast(6);skin(3);central_nervous_system(5);oesophagus(2);ovary(1);NS(2);prostate(1);bone(1);liver(2)	1	No GeneCards annotation	0														
CEP68	1	SY							160	upper_aerodigestive_tract(1);cervix(1);large_intestine(22);stomach(17);central_nervous_system(7);adrenal_gland(1);thyroid(1);haematopoietic_and_lymphoid_tissue(10);breast(9);endometrium(14);urinary_tract(3);lung(15);liver(6);skin(18);oesophagus(9);ovary(1);NS(3);prostate(7);bone(2);kidney(9);pancreas(4)	1	No GeneCards annotation	0														
ETAA1	3	MS							178	upper_aerodigestive_tract(5);thyroid(3);large_intestine(38);stomach(11);soft_tissue(1);central_nervous_system(2);pancreas(3);prostate(10);small_intestine(1);haematopoietic_and_lymphoid_tissue(6);endometrium(13);urinary_tract(6);lung(16);breast(11);skin(24);oesophagus(7);ovary(6);NS(3);autonomic_ganglia(1);kidney(4);liver(7)	1	No GeneCards annotation	0					0.04	0.999906839440509	1							
C1D	1	MS							34	thyroid(3);large_intestine(11);soft_tissue(1);central_nervous_system(2);haematopoietic_and_lymphoid_tissue(2);endometrium(2);urinary_tract(2);lung(4);skin(6);ovary(1)	1	 The protein encoded by this gene is a DNA binding and apoptosis-inducing protein and is localized in the nucleus. It is  also a Rac3-interacting protein which acts as a corepressor for the thyroid hormone receptor. This protein is thought  to regulate TRAX/Translin complex formation. Alternate splicing results in multiple transcript variants that encode  the same protein. Multiple pseudogenes of this gene are found on chromosome 10.	5	http://www.ncbi.nlm.nih.gov/pubmed?term=C1D[TIAB]+AND+cancer[MH]				0.084	0.84202	1							
WDR92	1	MS							71	upper_aerodigestive_tract(4);cervix(1);large_intestine(16);NS(1);stomach(3);central_nervous_system(1);haematopoietic_and_lymphoid_tissue(4);endometrium(6);urinary_tract(1);lung(4);liver(6);skin(11);oesophagus(1);pancreas(1);prostate(2);kidney(5);breast(4)	1	 This gene encodes a protein with two WD40 repeat domains thought to be involved in an apoptosis via activation of	0					0.264	0.40684	1	../MuPIT_Interactive?gm=chr2:68137346						
PNO1	2	MS							44	thyroid(2);cervix(1);large_intestine(9);stomach(4);soft_tissue(2);haematopoietic_and_lymphoid_tissue(2);endometrium(4);lung(2);breast(2);skin(3);oesophagus(3);NS(2);prostate(2);kidney(4);pancreas(2)	1	No GeneCards annotation	1	http://www.ncbi.nlm.nih.gov/pubmed?term=PNO1[TIAB]+AND+cancer[MH]				0.029	0.97723	1							
